make,model,year,price,miles,city,state,vin,trim,exterior_color,condition,engine,transmission,drive_train,fuel_type,body_type,doors,cylinders,horsepower,highway_mpg,city_mpg,car_age,miles_per_year,avg_price_model,price_vs_market,data_source
Kia,Sorento,2022,34792,54404,Mexico City,MX,SCRAPED2022184567,EX,Blue,Good,2.5L 4-Cylinder,Manual,RWD,Hybrid,Hatchback,2,4,370,24,20,2,27202.0,23563.17391304348,11228.82608695652,scraping
Chevrolet,Tahoe,2023,47931,48106,Mexico City,MX,SCRAPED2023719903,EX,Gray,Very Good,2.0L Turbo,CVT,AWD,Diesel,SUV,2,4,276,20,18,1,48106.0,25317.0,22614.0,scraping
Kia,Optima,2023,37992,118044,Mexico City,MX,SCRAPED2023260037,EX,Silver,Very Good,2.0L Turbo,CVT,AWD,Gasoline,Truck,2,8,394,29,24,1,118044.0,23576.82608695652,14415.17391304348,scraping
Toyota,Camry,2019,28312,69007,Mexico City,MX,SCRAPED2019464939,Premium,White,Very Good,2.0L Turbo,Automatic,RWD,Diesel,Truck,2,4,178,30,15,5,13801.4,23331.285714285714,4980.714285714286,scraping
Toyota,Highlander,2020,33014,106291,Mexico City,MX,SCRAPED2020492661,Limited,Blue,Fair,2.0L Turbo,Automatic,AWD,Diesel,Hatchback,2,4,314,32,18,4,26572.75,23365.428571428572,9648.571428571428,scraping
Audi,Q5,2019,57880,12765,Mexico City,MX,SCRAPED2019105951,Base,Silver,Fair,3.0L Diesel,CVT,AWD,Gasoline,SUV,4,8,234,27,16,5,2553.0,45476.92307692308,12403.076923076922,scraping
Mercedes-Benz,GLE,2019,44945,120218,Mexico City,MX,SCRAPED2019994333,Limited,Gray,Very Good,2.0L Turbo,CVT,RWD,Hybrid,SUV,4,8,361,31,22,5,24043.6,47390.76,-2445.760000000002,scraping
Mercedes-Benz,C-Class,2020,48217,73379,Mexico City,MX,SCRAPED2020179950,Base,Black,Good,2.0L Turbo,Automatic,RWD,Gasoline,Sedan,2,4,238,27,23,4,18344.75,42999.333333333336,5217.666666666664,scraping
Honda,Accord,2023,39149,118101,Mexico City,MX,SCRAPED2023900080,LX,Black,Excellent,2.0L Turbo,Manual,FWD,Hybrid,Truck,2,8,342,31,24,1,118101.0,24268.2,14880.8,scraping
BMW,X3,2020,45221,101096,Mexico City,MX,SCRAPED2020981934,Limited,Gray,Fair,3.5L V6,Automatic,AWD,Diesel,Hatchback,4,6,220,34,22,4,25274.0,47162.681818181816,-1941.6818181818162,scraping
BMW,3 Series,2023,53293,114018,Mexico City,MX,SCRAPED2023575119,Limited,Gray,Fair,3.5L V6,CVT,FWD,Hybrid,Truck,4,4,202,34,24,1,114018.0,45747.42857142857,7545.5714285714275,scraping
Audi,Q7,2021,56655,60511,Mexico City,MX,SCRAPED2021783661,Base,Blue,Excellent,2.0L Turbo,Manual,AWD,Hybrid,SUV,2,8,265,23,16,3,20170.333333333332,43610.3,13044.699999999997,scraping
Honda,CR-V,2021,30502,55903,Mexico City,MX,SCRAPED2021328384,Premium,Black,Fair,3.0L Diesel,Automatic,RWD,Diesel,Hatchback,4,4,319,23,15,3,18634.333333333332,24872.04761904762,5629.952380952382,scraping
BMW,5 Series,2019,53539,50868,Mexico City,MX,SCRAPED2019501165,Base,Gray,Very Good,2.0L Turbo,Manual,RWD,Diesel,Hatchback,4,4,374,29,22,5,10173.6,48771.92857142857,4767.0714285714275,scraping
Mercedes-Benz,GLC,2021,48036,149723,Mexico City,MX,SCRAPED2021149859,Limited,Blue,Very Good,2.5L 4-Cylinder,CVT,RWD,Hybrid,SUV,2,4,319,30,20,3,49907.666666666664,46112.3,1923.699999999997,scraping
Volkswagen,Tiguan,2020,28369,147704,Mexico City,MX,SCRAPED2020275080,LX,Black,Good,3.5L V6,Automatic,FWD,Diesel,Sedan,2,8,375,20,22,4,36926.0,25830.10714285714,2538.8928571428587,scraping
Hyundai,Sonata,2022,39058,21606,Mexico City,MX,SCRAPED2022379042,EX,Silver,Very Good,2.0L Turbo,CVT,RWD,Gasoline,Sedan,4,8,269,32,18,2,10803.0,27014.347826086956,12043.652173913044,scraping
Honda,Civic,2021,25216,116397,Mexico City,MX,SCRAPED2021122155,Base,White,Very Good,2.0L Turbo,Automatic,FWD,Gasoline,Sedan,4,6,361,34,25,3,38799.0,28659.869565217392,-3443.869565217392,scraping
Toyota,Camry,2019,24016,147701,Mexico City,MX,SCRAPED2019156129,EX,Blue,Very Good,3.5L V6,Manual,AWD,Gasoline,Hatchback,4,6,156,22,19,5,29540.2,23331.285714285714,684.7142857142862,scraping
Volkswagen,Atlas,2021,29454,78950,Mexico City,MX,SCRAPED2021701194,EX,Gray,Good,2.5L 4-Cylinder,CVT,RWD,Gasoline,Hatchback,4,6,245,20,18,3,26316.666666666668,21952.809523809523,7501.190476190477,scraping
Ford,Mustang,2023,42355,111051,Mexico City,MX,SCRAPED2023603731,Limited,White,Good,3.5L V6,Automatic,FWD,Diesel,Hatchback,2,4,224,20,19,1,111051.0,29431.11111111111,12923.88888888889,scraping
Chevrolet,Silverado,2020,37451,21505,Mexico City,MX,SCRAPED2020162768,Limited,Silver,Fair,3.5L V6,Automatic,FWD,Diesel,Truck,4,6,339,28,19,4,5376.25,32194.0,5257.0,scraping
BMW,X5,2022,52364,140412,Mexico City,MX,SCRAPED2022876708,EX,Blue,Fair,2.0L Turbo,Automatic,RWD,Gasoline,Hatchback,2,8,189,34,21,2,70206.0,45377.85,6986.1500000000015,scraping
Toyota,Corolla,2019,30986,73606,Mexico City,MX,SCRAPED2019719168,Limited,Black,Excellent,3.5L V6,Manual,RWD,Gasoline,Sedan,2,8,371,24,21,5,14721.2,22425.5,8560.5,scraping
Honda,CR-V,2023,30037,106988,Mexico City,MX,SCRAPED2023691048,Premium,Silver,Very Good,3.0L Diesel,Manual,RWD,Diesel,Sedan,2,6,196,34,23,1,106988.0,24872.04761904762,5164.952380952382,scraping
Volkswagen,Jetta,2019,31638,22290,Mexico City,MX,SCRAPED2019719465,Base,Silver,Excellent,2.0L Turbo,Automatic,FWD,Hybrid,SUV,2,8,388,24,25,5,4458.0,24905.565217391304,6732.434782608696,scraping
Nissan,Sentra,2022,39447,52317,Mexico City,MX,SCRAPED2022274298,Premium,Black,Fair,2.0L Turbo,Manual,FWD,Gasoline,Truck,2,8,283,32,20,2,26158.5,21778.217391304348,17668.782608695652,scraping
Hyundai,Sonata,2019,28670,81746,Mexico City,MX,SCRAPED2019822205,Base,Red,Excellent,2.5L 4-Cylinder,Manual,FWD,Hybrid,Hatchback,4,4,398,25,18,5,16349.2,27014.347826086956,1655.652173913044,scraping
Mercedes-Benz,C-Class,2019,51089,65827,Mexico City,MX,SCRAPED2019471834,Base,White,Fair,3.5L V6,Automatic,AWD,Gasoline,Hatchback,4,8,376,22,18,5,13165.4,42999.333333333336,8089.666666666664,scraping
Toyota,RAV4,2023,39107,126730,Mexico City,MX,SCRAPED2023308980,Base,Gray,Good,3.0L Diesel,Manual,FWD,Hybrid,SUV,4,4,358,20,18,1,126730.0,25440.3,13666.7,scraping
Audi,A4,2021,52517,60250,Mexico City,MX,SCRAPED2021466080,LX,Red,Very Good,3.0L Diesel,Manual,RWD,Diesel,Sedan,2,8,175,24,23,3,20083.333333333332,43616.8,8900.199999999997,scraping
Toyota,Corolla,2019,25283,112052,Mexico City,MX,SCRAPED2019134434,Base,White,Excellent,2.5L 4-Cylinder,Automatic,RWD,Gasoline,SUV,4,6,365,24,18,5,22410.4,22425.5,2857.5,scraping
Audi,Q5,2022,56956,42714,Mexico City,MX,SCRAPED2022691318,LX,White,Good,3.5L V6,Automatic,AWD,Gasoline,Truck,4,4,229,33,15,2,21357.0,45476.92307692308,11479.076923076922,scraping
Honda,Civic,2023,37592,117614,Mexico City,MX,SCRAPED2023678780,Limited,Red,Fair,2.0L Turbo,CVT,RWD,Gasoline,Hatchback,4,6,391,21,19,1,117614.0,28659.869565217392,8932.130434782608,scraping
Chevrolet,Silverado,2022,34934,144406,Mexico City,MX,SCRAPED2022937412,Limited,White,Excellent,2.5L 4-Cylinder,Manual,FWD,Gasoline,Sedan,4,8,376,26,25,2,72203.0,32194.0,2740.0,scraping
Mercedes-Benz,GLE,2023,60451,42467,Mexico City,MX,SCRAPED2023962896,Limited,Red,Very Good,2.0L Turbo,Automatic,RWD,Gasoline,Sedan,2,4,191,26,22,1,42467.0,47390.76,13060.239999999998,scraping
Ford,Escape,2021,40612,103778,Mexico City,MX,SCRAPED2021703400,Base,Blue,Good,2.0L Turbo,CVT,AWD,Diesel,SUV,2,4,334,34,16,3,34592.666666666664,29792.18181818182,10819.81818181818,scraping
BMW,X5,2023,52616,102930,Mexico City,MX,SCRAPED2023599196,EX,Gray,Excellent,2.0L Turbo,CVT,FWD,Gasoline,Sedan,4,6,369,30,17,1,102930.0,45377.85,7238.1500000000015,scraping
Mercedes-Benz,GLE,2023,52490,120476,Mexico City,MX,SCRAPED2023777394,EX,Blue,Very Good,3.5L V6,Manual,AWD,Gasoline,Sedan,4,8,230,24,20,1,120476.0,47390.76,5099.239999999998,scraping
Toyota,Camry,2023,39712,32079,Mexico City,MX,SCRAPED2023233218,Base,Silver,Very Good,2.0L Turbo,Manual,RWD,Diesel,Truck,2,6,307,29,23,1,32079.0,23331.285714285714,16380.714285714286,scraping
Chevrolet,Silverado,2022,40183,43811,Mexico City,MX,SCRAPED2022331283,Premium,Gray,Fair,2.0L Turbo,CVT,AWD,Diesel,Hatchback,4,8,155,20,17,2,21905.5,32194.0,7989.0,scraping
Mercedes-Benz,GLE,2023,59213,124466,Mexico City,MX,SCRAPED2023120726,Base,Red,Very Good,2.0L Turbo,Manual,RWD,Hybrid,Hatchback,4,6,150,35,21,1,124466.0,47390.76,11822.239999999998,scraping
Honda,Accord,2021,37373,67242,Mexico City,MX,SCRAPED2021992281,Premium,Red,Fair,3.0L Diesel,Automatic,RWD,Hybrid,Truck,2,8,276,28,23,3,22414.0,24268.2,13104.8,scraping
Mercedes-Benz,GLC,2023,54836,82403,Mexico City,MX,SCRAPED2023332801,Limited,White,Fair,2.5L 4-Cylinder,Manual,RWD,Hybrid,SUV,2,6,372,29,24,1,82403.0,46112.3,8723.699999999997,scraping
Mercedes-Benz,GLE,2022,52134,71395,Mexico City,MX,SCRAPED2022953751,Base,Black,Fair,2.5L 4-Cylinder,Automatic,RWD,Diesel,Truck,4,4,311,33,21,2,35697.5,47390.76,4743.239999999998,scraping
Audi,Q7,2019,43854,95264,Mexico City,MX,SCRAPED2019740564,Premium,Gray,Fair,2.0L Turbo,Manual,FWD,Gasoline,Sedan,2,4,167,26,21,5,19052.8,43610.3,243.6999999999971,scraping
Mercedes-Benz,E-Class,2021,54563,140042,Mexico City,MX,SCRAPED2021851368,EX,Red,Fair,3.0L Diesel,Manual,FWD,Diesel,SUV,4,4,323,27,22,3,46680.666666666664,46445.807692307695,8117.192307692305,scraping
Chevrolet,Malibu,2020,35628,74857,Mexico City,MX,SCRAPED2020414681,LX,Blue,Fair,2.5L 4-Cylinder,Automatic,RWD,Hybrid,Truck,4,6,176,27,23,4,18714.25,31844.458333333332,3783.541666666668,scraping
Kia,Forte,2020,30049,51744,Mexico City,MX,SCRAPED2020708598,Limited,Red,Excellent,2.0L Turbo,CVT,RWD,Hybrid,SUV,2,6,280,25,24,4,12936.0,29418.470588235294,630.5294117647063,scraping
Volkswagen,Atlas,2022,27319,134169,Mexico City,MX,SCRAPED2022936035,EX,Gray,Very Good,2.5L 4-Cylinder,Automatic,RWD,Gasoline,Sedan,4,6,385,24,15,2,67084.5,21952.809523809523,5366.190476190477,scraping
Mercedes-Benz,E-Class,2020,52815,113657,Mexico City,MX,SCRAPED2020704092,Base,Blue,Excellent,3.5L V6,Manual,FWD,Gasoline,Hatchback,4,4,351,33,16,4,28414.25,46445.807692307695,6369.192307692305,scraping
Mercedes-Benz,GLE,2023,62086,15803,Mexico City,MX,SCRAPED2023630584,Limited,Black,Good,3.0L Diesel,Manual,RWD,Gasoline,SUV,2,8,295,34,23,1,15803.0,47390.76,14695.239999999998,scraping
Kia,Forte,2020,35659,41043,Mexico City,MX,SCRAPED2020310206,Premium,White,Very Good,3.0L Diesel,Manual,AWD,Gasoline,Truck,2,4,259,24,19,4,10260.75,29418.470588235294,6240.529411764706,scraping
Mercedes-Benz,GLC,2020,43724,147811,Mexico City,MX,SCRAPED2020363134,Limited,White,Very Good,2.0L Turbo,Manual,FWD,Diesel,SUV,2,8,242,26,19,4,36952.75,46112.3,-2388.300000000003,scraping
Volkswagen,Jetta,2022,38935,65804,Mexico City,MX,SCRAPED2022769201,Premium,Black,Excellent,3.5L V6,Automatic,RWD,Gasoline,Hatchback,4,6,231,28,25,2,32902.0,24905.565217391304,14029.434782608696,scraping
Kia,Sportage,2022,31056,48118,Mexico City,MX,SCRAPED2022162157,Limited,Black,Fair,3.0L Diesel,Manual,AWD,Hybrid,Hatchback,4,8,362,24,20,2,24059.0,25350.57894736842,5705.42105263158,scraping
Mercedes-Benz,E-Class,2020,50189,136459,Mexico City,MX,SCRAPED2020705147,Premium,Red,Good,3.0L Diesel,CVT,AWD,Diesel,SUV,2,4,376,34,19,4,34114.75,46445.807692307695,3743.192307692305,scraping
Hyundai,Elantra,2019,34992,16233,Mexico City,MX,SCRAPED2019788507,LX,Gray,Very Good,2.5L 4-Cylinder,Manual,FWD,Hybrid,Truck,4,4,310,21,20,5,3246.6,24270.041666666668,10721.958333333332,scraping
Hyundai,Tucson,2023,38452,101675,Mexico City,MX,SCRAPED2023956936,Limited,White,Fair,3.0L Diesel,Automatic,RWD,Diesel,Truck,2,8,243,26,18,1,101675.0,23820.75,14631.25,scraping
Kia,Forte,2019,35077,35491,Mexico City,MX,SCRAPED2019293220,Limited,Silver,Excellent,3.5L V6,Manual,RWD,Hybrid,Sedan,4,4,255,32,22,5,7098.2,29418.470588235294,5658.529411764706,scraping
Toyota,Highlander,2019,34700,11019,Mexico City,MX,SCRAPED2019174114,LX,White,Very Good,2.0L Turbo,Automatic,AWD,Diesel,Sedan,4,8,378,32,20,5,2203.8,23365.428571428572,11334.571428571428,scraping
Toyota,Highlander,2021,29913,70429,Mexico City,MX,SCRAPED2021926154,Limited,Black,Very Good,3.5L V6,CVT,FWD,Gasoline,Sedan,4,8,182,31,19,3,23476.333333333332,23365.428571428572,6547.5714285714275,scraping
Honda,Pilot,2020,36300,106485,Mexico City,MX,SCRAPED2020903016,EX,Gray,Good,2.5L 4-Cylinder,Automatic,FWD,Diesel,Sedan,2,4,380,30,23,4,26621.25,20042.933333333334,16257.066666666666,scraping
Audi,Q7,2021,55030,35477,Mexico City,MX,SCRAPED2021756329,EX,Blue,Very Good,2.5L 4-Cylinder,Manual,AWD,Gasoline,Sedan,4,8,312,35,16,3,11825.666666666666,43610.3,11419.699999999997,scraping
Mercedes-Benz,GLC,2019,49407,70637,Mexico City,MX,SCRAPED2019101076,EX,Black,Good,2.5L 4-Cylinder,CVT,RWD,Diesel,Sedan,2,8,267,27,15,5,14127.4,46112.3,3294.699999999997,scraping
Volkswagen,Tiguan,2021,31407,110782,Mexico City,MX,SCRAPED2021962729,Base,Red,Very Good,2.5L 4-Cylinder,Automatic,FWD,Gasoline,SUV,2,4,357,34,16,3,36927.333333333336,25830.10714285714,5576.892857142859,scraping
Kia,Optima,2020,34231,149862,Mexico City,MX,SCRAPED2020200899,Base,Gray,Very Good,2.0L Turbo,Automatic,AWD,Diesel,Hatchback,4,4,272,21,21,4,37465.5,23576.82608695652,10654.17391304348,scraping
BMW,X3,2022,53266,147427,Mexico City,MX,SCRAPED2022952071,Base,Silver,Excellent,2.5L 4-Cylinder,Manual,RWD,Hybrid,SUV,4,4,168,28,24,2,73713.5,47162.681818181816,6103.318181818184,scraping
Kia,Sorento,2019,34842,12930,Mexico City,MX,SCRAPED2019298094,EX,Blue,Good,3.5L V6,Manual,RWD,Diesel,Sedan,4,4,176,27,22,5,2586.0,23563.17391304348,11278.82608695652,scraping
Honda,Accord,2021,36295,86933,Mexico City,MX,SCRAPED2021514761,Limited,White,Good,2.5L 4-Cylinder,Automatic,RWD,Diesel,SUV,2,4,263,24,15,3,28977.666666666668,24268.2,12026.8,scraping
Audi,A4,2022,59464,56026,Mexico City,MX,SCRAPED2022631078,LX,White,Excellent,2.5L 4-Cylinder,CVT,AWD,Gasoline,Truck,4,8,378,21,19,2,28013.0,43616.8,15847.199999999997,scraping
Chevrolet,Equinox,2023,41260,85791,Mexico City,MX,SCRAPED2023153780,EX,Blue,Fair,3.0L Diesel,CVT,RWD,Hybrid,Hatchback,2,4,246,33,24,1,85791.0,28386.823529411766,12873.176470588234,scraping
Volkswagen,Atlas,2021,34239,19758,Mexico City,MX,SCRAPED2021274310,LX,Blue,Excellent,3.0L Diesel,Manual,AWD,Hybrid,Hatchback,4,6,390,22,25,3,6586.0,21952.809523809523,12286.190476190477,scraping
Hyundai,Tucson,2021,33589,69641,Mexico City,MX,SCRAPED2021302257,LX,Red,Fair,2.0L Turbo,Manual,FWD,Diesel,Truck,4,6,393,22,16,3,23213.666666666668,23820.75,9768.25,scraping
Kia,Forte,2020,29774,128512,Mexico City,MX,SCRAPED2020479347,EX,Black,Good,3.5L V6,Automatic,AWD,Gasoline,Truck,4,4,265,33,24,4,32128.0,29418.470588235294,355.5294117647063,scraping
BMW,X3,2022,58839,120553,Mexico City,MX,SCRAPED2022826961,LX,Gray,Excellent,2.5L 4-Cylinder,Automatic,FWD,Diesel,SUV,4,8,341,29,20,2,60276.5,47162.681818181816,11676.318181818184,scraping
Toyota,Corolla,2021,34965,12560,Mexico City,MX,SCRAPED2021950468,Limited,Black,Good,3.5L V6,Manual,FWD,Gasoline,SUV,2,4,268,25,15,3,4186.666666666667,22425.5,12539.5,scraping
Audi,Q7,2019,48206,69615,Mexico City,MX,SCRAPED2019900892,Premium,Gray,Fair,2.0L Turbo,Manual,FWD,Diesel,Sedan,2,6,236,29,24,5,13923.0,43610.3,4595.699999999997,scraping
Ford,Escape,2023,39677,110143,Mexico City,MX,SCRAPED2023742650,Base,Black,Very Good,3.5L V6,Manual,AWD,Gasoline,Sedan,4,6,281,34,20,1,110143.0,29792.18181818182,9884.81818181818,scraping
Ford,F-150,2023,36325,148143,Mexico City,MX,SCRAPED2023181131,Premium,Red,Very Good,3.5L V6,Manual,FWD,Gasoline,Truck,4,4,174,28,15,1,148143.0,29563.739130434784,6761.260869565216,scraping
Mercedes-Benz,GLC,2022,53129,139092,Mexico City,MX,SCRAPED2022303308,Base,Red,Excellent,3.0L Diesel,Manual,RWD,Hybrid,Truck,4,6,175,20,23,2,69546.0,46112.3,7016.699999999997,scraping
Mercedes-Benz,C-Class,2022,56946,54401,Mexico City,MX,SCRAPED2022994322,Limited,Gray,Very Good,2.0L Turbo,Automatic,RWD,Diesel,SUV,2,8,266,34,22,2,27200.5,42999.333333333336,13946.666666666664,scraping
Chevrolet,Tahoe,2020,33032,70425,Mexico City,MX,SCRAPED2020239845,LX,Silver,Good,3.5L V6,Manual,AWD,Diesel,Sedan,4,6,308,28,24,4,17606.25,25317.0,7715.0,scraping
Nissan,Rogue,2020,34928,64356,Mexico City,MX,SCRAPED2020377785,Limited,Red,Excellent,2.5L 4-Cylinder,CVT,FWD,Hybrid,Hatchback,2,8,256,26,23,4,16089.0,24736.576923076922,10191.423076923078,scraping
Nissan,Pathfinder,2022,33117,114386,Mexico City,MX,SCRAPED2022685741,LX,Red,Excellent,2.5L 4-Cylinder,Manual,RWD,Diesel,Hatchback,4,6,391,32,22,2,57193.0,24422.72,8694.279999999999,scraping
Toyota,Corolla,2019,30299,62373,Mexico City,MX,SCRAPED2019249447,Base,Black,Fair,3.5L V6,CVT,FWD,Hybrid,SUV,2,6,361,27,23,5,12474.6,22425.5,7873.5,scraping
BMW,3 Series,2022,53937,71253,Mexico City,MX,SCRAPED2022651784,LX,Red,Excellent,2.5L 4-Cylinder,Automatic,RWD,Hybrid,Truck,2,6,326,22,24,2,35626.5,45747.42857142857,8189.5714285714275,scraping
Nissan,Altima,2020,26666,125367,Mexico City,MX,SCRAPED2020324870,LX,Red,Fair,3.5L V6,Manual,AWD,Gasoline,Truck,2,4,205,23,25,4,31341.75,24909.2,1756.7999999999993,scraping
Ford,F-150,2022,38766,126228,Mexico City,MX,SCRAPED2022657331,Base,Black,Very Good,3.0L Diesel,CVT,FWD,Diesel,SUV,2,6,312,33,16,2,63114.0,29563.739130434784,9202.260869565216,scraping
Honda,Accord,2022,33513,90730,Mexico City,MX,SCRAPED2022637297,Base,Blue,Fair,3.0L Diesel,Manual,FWD,Hybrid,Hatchback,4,6,171,34,24,2,45365.0,24268.2,9244.8,scraping
Nissan,Sentra,2015,16963,125944,Guadalajara,MX,SCRAPED2015831835,EX,Gray,Good,3.5L V6,Automatic,FWD,Gasoline,Truck,4,4,223,20,21,9,13993.777777777777,21778.217391304348,-4815.217391304348,scraping
Toyota,RAV4,2010,15026,10147,Guadalajara,MX,SCRAPED2010703508,Limited,Blue,Fair,2.5L 4-Cylinder,CVT,AWD,Diesel,Sedan,2,4,178,29,19,14,724.7857142857143,25440.3,-10414.3,scraping
BMW,X3,2011,32573,68578,Guadalajara,MX,SCRAPED2011543857,Base,Silver,Very Good,3.0L Diesel,Manual,FWD,Gasoline,Hatchback,2,6,348,31,23,13,5275.2307692307695,47162.681818181816,-14589.681818181816,scraping
Honda,Accord,2013,7395,134816,Guadalajara,MX,SCRAPED2013718764,Base,White,Very Good,3.0L Diesel,Manual,RWD,Hybrid,SUV,4,8,398,32,19,11,12256.0,24268.2,-16873.2,scraping
Audi,A6,2014,39550,121943,Guadalajara,MX,SCRAPED2014429176,Base,Red,Very Good,2.5L 4-Cylinder,Manual,FWD,Hybrid,Truck,4,8,240,28,20,10,12194.3,42394.47826086957,-2844.4782608695677,scraping
Volkswagen,Passat,2015,16690,133226,Guadalajara,MX,SCRAPED2015502735,LX,Gray,Good,3.0L Diesel,Manual,AWD,Gasoline,SUV,2,4,317,32,17,9,14802.888888888889,25221.53846153846,-8531.538461538461,scraping
Hyundai,Santa Fe,2015,17612,119140,Guadalajara,MX,SCRAPED2015479424,Premium,Blue,Very Good,2.5L 4-Cylinder,Manual,AWD,Gasoline,Hatchback,4,4,324,27,23,9,13237.777777777777,23741.354838709678,-6129.354838709678,scraping
BMW,X3,2013,37994,68411,Guadalajara,MX,SCRAPED2013844062,Limited,Blue,Good,3.0L Diesel,Manual,AWD,Hybrid,SUV,4,6,362,33,23,11,6219.181818181818,47162.681818181816,-9168.681818181816,scraping
Nissan,Pathfinder,2014,13922,94508,Guadalajara,MX,SCRAPED2014522538,Base,Silver,Good,3.5L V6,CVT,AWD,Hybrid,Sedan,2,4,285,33,19,10,9450.8,24422.72,-10500.720000000001,scraping
Chevrolet,Tahoe,2010,18546,20928,Guadalajara,MX,SCRAPED2010608378,Limited,Gray,Very Good,2.5L 4-Cylinder,Manual,AWD,Hybrid,SUV,2,6,170,35,19,14,1494.857142857143,25317.0,-6771.0,scraping
Toyota,Corolla,2013,19078,22918,Guadalajara,MX,SCRAPED2013843375,Limited,Blue,Good,2.0L Turbo,Manual,RWD,Hybrid,Hatchback,2,4,171,23,20,11,2083.4545454545455,22425.5,-3347.5,scraping
Toyota,Highlander,2012,22222,41056,Guadalajara,MX,SCRAPED2012322017,Limited,Red,Fair,2.5L 4-Cylinder,Manual,FWD,Diesel,Hatchback,2,8,166,33,24,12,3421.3333333333335,23365.428571428572,-1143.4285714285725,scraping
Audi,Q5,2013,43265,17031,Guadalajara,MX,SCRAPED2013332482,Limited,Black,Very Good,3.0L Diesel,CVT,FWD,Gasoline,Hatchback,4,6,277,24,15,11,1548.2727272727273,45476.92307692308,-2211.923076923078,scraping
Ford,Mustang,2014,27819,36795,Guadalajara,MX,SCRAPED2014293121,Premium,Gray,Very Good,3.0L Diesel,Manual,RWD,Hybrid,Sedan,4,8,281,26,18,10,3679.5,29431.11111111111,-1612.1111111111095,scraping
Honda,CR-V,2015,17777,131539,Guadalajara,MX,SCRAPED2015321775,Limited,Gray,Excellent,3.0L Diesel,CVT,AWD,Diesel,Truck,2,6,321,28,22,9,14615.444444444445,24872.04761904762,-7095.047619047618,scraping
Mercedes-Benz,GLE,2014,45417,49861,Guadalajara,MX,SCRAPED2014409303,Limited,Red,Very Good,3.0L Diesel,Manual,AWD,Hybrid,Sedan,4,6,198,23,16,10,4986.1,47390.76,-1973.760000000002,scraping
Mercedes-Benz,C-Class,2012,35295,65572,Guadalajara,MX,SCRAPED2012852757,LX,Blue,Very Good,2.0L Turbo,Manual,FWD,Gasoline,Hatchback,2,6,207,25,19,12,5464.333333333333,42999.333333333336,-7704.333333333336,scraping
Toyota,Camry,2010,13991,109858,Guadalajara,MX,SCRAPED2010259735,Premium,Red,Very Good,2.0L Turbo,CVT,FWD,Diesel,Sedan,4,8,357,23,18,14,7847.0,23331.285714285714,-9340.285714285714,scraping
Audi,A6,2013,38669,82370,Guadalajara,MX,SCRAPED2013368827,Base,White,Fair,3.0L Diesel,CVT,FWD,Diesel,Sedan,4,6,198,32,16,11,7488.181818181818,42394.47826086957,-3725.4782608695677,scraping
Kia,Optima,2014,14672,144242,Guadalajara,MX,SCRAPED2014463518,Limited,Silver,Excellent,3.5L V6,CVT,RWD,Hybrid,Hatchback,4,4,284,32,15,10,14424.2,23576.82608695652,-8904.82608695652,scraping
Hyundai,Tucson,2013,20073,41180,Guadalajara,MX,SCRAPED2013597732,LX,Blue,Good,3.0L Diesel,Automatic,RWD,Diesel,Sedan,2,8,274,35,22,11,3743.6363636363635,23820.75,-3747.75,scraping
Nissan,Rogue,2015,19784,141362,Guadalajara,MX,SCRAPED2015333460,Base,Red,Excellent,2.5L 4-Cylinder,CVT,FWD,Hybrid,SUV,2,8,273,24,22,9,15706.888888888889,24736.576923076922,-4952.576923076922,scraping
Honda,Pilot,2013,22204,59729,Guadalajara,MX,SCRAPED2013597322,Base,Red,Fair,3.0L Diesel,CVT,RWD,Diesel,Truck,4,6,391,33,19,11,5429.909090909091,20042.933333333334,2161.0666666666657,scraping
Audi,Q5,2010,27928,71260,Guadalajara,MX,SCRAPED2010526134,LX,Red,Good,2.0L Turbo,Manual,AWD,Gasoline,SUV,4,8,356,30,19,14,5090.0,45476.92307692308,-17548.923076923078,scraping
Volkswagen,Tiguan,2011,19454,36181,Guadalajara,MX,SCRAPED2011436985,Limited,Gray,Fair,2.5L 4-Cylinder,CVT,AWD,Hybrid,Sedan,4,4,250,24,19,13,2783.153846153846,25830.10714285714,-6376.107142857141,scraping
Chevrolet,Tahoe,2012,16121,143530,Guadalajara,MX,SCRAPED2012435453,Base,Blue,Excellent,3.5L V6,Automatic,RWD,Gasoline,Sedan,2,8,295,24,16,12,11960.833333333334,25317.0,-9196.0,scraping
Chevrolet,Malibu,2010,16004,64209,Guadalajara,MX,SCRAPED2010635230,Limited,Silver,Excellent,2.0L Turbo,CVT,AWD,Hybrid,SUV,4,8,229,31,20,14,4586.357142857143,31844.458333333332,-15840.458333333332,scraping
Mercedes-Benz,GLC,2011,34527,56658,Guadalajara,MX,SCRAPED2011179315,Base,Red,Very Good,2.0L Turbo,Automatic,AWD,Hybrid,Sedan,2,4,379,27,18,13,4358.307692307692,46112.3,-11585.300000000003,scraping
Audi,A4,2014,32477,140197,Guadalajara,MX,SCRAPED2014299600,LX,Blue,Good,2.5L 4-Cylinder,CVT,FWD,Hybrid,Sedan,4,4,189,21,19,10,14019.7,43616.8,-11139.800000000003,scraping
Hyundai,Sonata,2010,11544,94188,Guadalajara,MX,SCRAPED2010832393,Base,Black,Excellent,2.5L 4-Cylinder,CVT,AWD,Gasoline,SUV,2,4,333,23,16,14,6727.714285714285,27014.347826086956,-15470.347826086956,scraping
